value,property,unit,cmp_ids,cmp_mole_fractions
1.538730547,solubility,mg/mL,"[1, 2, 3, 4, 5]","[0.04, 0.05, 0.01, 0.04, 0.86]"
1.679586568,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.01, 0.02, 0.05, 0.04, 0.04, 0.84]"
3.229002739,solubility,mg/mL,"[0, 1, 2, 3, 5]","[0.04, 0.05, 0.04, 0.04, 0.83]"
1.91272756,solubility,mg/mL,"[1, 2, 3, 4, 5]","[0.04, 0.04, 0.01, 0.01, 0.9]"
3.724427347,solubility,mg/mL,"[0, 2, 3, 4, 5]","[0.04, 0.01, 0.05, 0.01, 0.89]"
3.073575407,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.02, 0.04, 0.03, 0.03, 0.84]"
1.951584382,solubility,mg/mL,"[0, 3, 4, 5]","[0.01, 0.04, 0.04, 0.91]"
0.732451288,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.01, 0.01, 0.03, 0.01, 0.01, 0.93]"
3.850712056,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.01, 0.03, 0.05, 0.04, 0.87]"
1.558158958,solubility,mg/mL,"[1, 2, 3, 4, 5]","[0.04, 0.02, 0.04, 0.04, 0.86]"
8.571817145,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.01, 0.02, 0.01, 0.03, 0.89]"
7.279827476,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.01, 0.01, 0.03, 0.05, 0.04, 0.86]"
4.146995395,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.04, 0.01, 0.02, 0.01, 0.87]"
6.395834543,solubility,mg/mL,"[0, 2, 3, 4, 5]","[0.01, 0.01, 0.01, 0.03, 0.94]"
2.563579487,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.04, 0.03, 0.02, 0.04, 0.83]"
2.986147535,solubility,mg/mL,"[0, 2, 3, 4, 5]","[0.04, 0.01, 0.05, 0.04, 0.86]"
4.054710424,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.04, 0.04, 0.02, 0.04, 0.86]"
2.286724558,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.02, 0.02, 0.02, 0.05, 0.03, 0.86]"
2.034155155,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.01, 0.02, 0.01, 0.05, 0.87]"
2.529579763,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.01, 0.05, 0.04, 0.04, 0.86]"
2.753006543,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.03, 0.04, 0.03, 0.02, 0.02, 0.86]"
2.660721571,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.05, 0.03, 0.01, 0.01, 0.86]"
3.112432243,solubility,mg/mL,"[0, 1, 2, 3, 5]","[0.03, 0.03, 0.03, 0.04, 0.87]"
1.397874526,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.03, 0.01, 0.04, 0.04, 0.04, 0.84]"
2.024440942,solubility,mg/mL,"[0, 1, 2, 5]","[0.04, 0.01, 0.01, 0.94]"
3.695284723,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.03, 0.04, 0.04, 0.01, 0.01, 0.87]"
2.757863656,solubility,mg/mL,"[0, 2, 3, 4, 5]","[0.04, 0.04, 0.04, 0.01, 0.87]"
1.679586568,solubility,mg/mL,"[0, 3, 4, 5]","[0.01, 0.04, 0.01, 0.94]"
2.485865827,solubility,mg/mL,"[0, 1, 2, 3, 5]","[0.01, 0.04, 0.04, 0.04, 0.87]"
2.179868275,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.01, 0.03, 0.03, 0.01, 0.88]"
0.742165486,solubility,mg/mL,"[0, 1, 2, 4, 5]","[0.01, 0.01, 0.03, 0.04, 0.91]"
1.461016888,solubility,mg/mL,"[1, 2, 3, 4, 5]","[0.04, 0.04, 0.05, 0.03, 0.84]"
3.272716675,solubility,mg/mL,"[0, 1, 4, 5]","[0.04, 0.01, 0.03, 0.92]"
2.762720755,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.01, 0.05, 0.01, 0.05, 0.83]"
3.102718031,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.01, 0.02, 0.04, 0.05, 0.01, 0.87]"
5.230129583,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.03, 0.01, 0.04, 0.01, 0.86]"
5.380699816,solubility,mg/mL,"[0, 1, 2, 4, 5]","[0.05, 0.04, 0.05, 0.04, 0.82]"
1.533873448,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.02, 0.01, 0.05, 0.02, 0.02, 0.88]"
2.330438494,solubility,mg/mL,"[1, 2, 3, 4, 5]","[0.04, 0.02, 0.01, 0.04, 0.89]"
2.937576499,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.01, 0.05, 0.04, 0.01, 0.89]"
5.234986696,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.01, 0.05, 0.05, 0.04, 0.05, 0.8]"
4.103281459,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.04, 0.04, 0.04, 0.04, 0.8]"
4.574420543,solubility,mg/mL,"[0, 1, 4, 5]","[0.05, 0.04, 0.04, 0.87]"
5.021274116,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.04, 0.04, 0.04, 0.02, 0.81]"
3.141574867,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.01, 0.05, 0.01, 0.01, 0.01, 0.91]"
1.169590648,solubility,mg/mL,"[1, 2, 3, 4, 5]","[0.01, 0.05, 0.01, 0.04, 0.89]"
4.030424899,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.05, 0.01, 0.05, 0.04, 0.81]"
1.91272756,solubility,mg/mL,"[0, 1, 2, 3, 5]","[0.01, 0.02, 0.01, 0.01, 0.95]"
4.297079909,solubility,mg/mL,"[0, 1, 2, 4, 5]","[0.05, 0.05, 0.05, 0.05, 0.8]"
4.209652037,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.04, 0.03, 0.04, 0.01, 0.83]"
3.597656933,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.04, 0.05, 0.05, 0.02, 0.79]"
4.476792752,solubility,mg/mL,"[0, 1, 2, 4, 5]","[0.05, 0.04, 0.05, 0.05, 0.81]"
5.438499344,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.05, 0.04, 0.05, 0.01, 0.85]"
3.359658842,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.04, 0.04, 0.04, 0.01, 0.83]"
4.603077461,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.05, 0.05, 0.03, 0.03, 0.8]"
3.602514032,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.03, 0.04, 0.04, 0.05, 0.02, 0.82]"
3.519943274,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.04, 0.02, 0.03, 0.04, 0.83]"
4.204794938,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.04, 0.04, 0.05, 0.02, 0.85]"
4.539935114,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.05, 0.04, 0.02, 0.05, 0.79]"
4.709933744,solubility,mg/mL,"[0, 1, 2, 3, 5]","[0.05, 0.05, 0.05, 0.05, 0.8]"
3.063375488,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.05, 0.05, 0.03, 0.05, 0.78]"
3.529657472,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.04, 0.03, 0.02, 0.01, 0.9]"
2.019098138,solubility,mg/mL,"[0, 1, 2, 4, 5]","[0.05, 0.04, 0.01, 0.03, 0.87]"
3.500514848,solubility,mg/mL,"[0, 1, 2, 3, 5]","[0.05, 0.05, 0.05, 0.03, 0.82]"
3.558800096,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.02, 0.03, 0.05, 0.02, 0.83]"
4.301937008,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.05, 0.01, 0.01, 0.01, 0.87]"
5.448213557,solubility,mg/mL,"[0, 3, 4, 5]","[0.05, 0.04, 0.02, 0.89]"
3.947368421,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.05, 0.05, 0.05, 0.05, 0.8]"
3.602514032,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.03, 0.02, 0.02, 0.05, 0.83]"
2.509665632,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.05, 0.03, 0.03, 0.01, 0.83]"
4.486506965,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.04, 0.03, 0.03, 0.04, 0.86]"
3.204231509,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.05, 0.05, 0.02, 0.05, 0.78]"
8.833615041,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.04, 0.05, 0.04, 0.01, 0.81]"
6.424491461,solubility,mg/mL,"[0, 1, 2, 3, 5]","[0.05, 0.03, 0.04, 0.03, 0.85]"
5.623069301,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.05, 0.05, 0.02, 0.04, 0.79]"
4.491364064,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.05, 0.05, 0.02, 0.03, 0.85]"
4.287365696,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.04, 0.05, 0.04, 0.03, 0.79]"
5.317071749,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.04, 0.04, 0.03, 0.04, 0.85]"
4.476792752,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.04, 0.01, 0.04, 0.03, 0.83]"
7.235627834,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.75]"
5.953352378,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.04, 0.02, 0.05, 0.02, 0.83]"
5.987352101,solubility,mg/mL,"[0, 1, 2, 3, 5]","[0.05, 0.04, 0.03, 0.01, 0.87]"
7.88647976,solubility,mg/mL,"[0, 1, 3, 5]","[0.04, 0.03, 0.05, 0.88]"
6.341920688,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.04, 0.03, 0.03, 0.02, 0.88]"
3.728798741,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.05, 0.05, 0.05, 0.05, 0.76]"
7.459054613,solubility,mg/mL,"[0, 1, 2, 3, 5]","[0.05, 0.02, 0.01, 0.03, 0.89]"
5.725068485,solubility,mg/mL,"[0, 1, 2, 3, 5]","[0.05, 0.04, 0.04, 0.02, 0.85]"
3.111946538,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.01, 0.01, 0.03, 0.04, 0.86]"
3.325659104,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.05, 0.05, 0.04, 0.01, 0.85]"
3.082803914,solubility,mg/mL,"[0, 1, 3, 5]","[0.04, 0.04, 0.05, 0.87]"
2.626236128,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.03, 0.02, 0.05, 0.04, 0.82]"
3.675370592,solubility,mg/mL,"[0, 1, 2, 4, 5]","[0.04, 0.04, 0.05, 0.02, 0.85]"
4.21936625,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.02, 0.05, 0.05, 0.01, 0.82]"
5.958209477,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.04, 0.05, 0.05, 0.05, 0.76]"
3.49080065,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.02, 0.04, 0.03, 0.04, 0.03, 0.84]"
2.961376304,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.01, 0.03, 0.02, 0.04, 0.86]"
3.524800373,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.03, 0.01, 0.01, 0.02, 0.88]"
3.918225797,solubility,mg/mL,"[0, 2, 3, 4, 5]","[0.05, 0.01, 0.01, 0.02, 0.91]"
7.876765562,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.04, 0.01, 0.04, 0.01, 0.85]"
6.817916885,solubility,mg/mL,"[0, 1, 2, 4, 5]","[0.05, 0.03, 0.03, 0.01, 0.88]"
4.263080186,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.03, 0.01, 0.03, 0.04, 0.85]"
9.076470245,solubility,mg/mL,"[1, 2, 3, 4, 5]","[0.05, 0.03, 0.05, 0.05, 0.82]"
4.491364064,solubility,mg/mL,"[0, 2, 3, 5]","[0.05, 0.05, 0.02, 0.88]"
2.990518928,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.02, 0.02, 0.01, 0.05, 0.86]"
3.019661552,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.04, 0.05, 0.04, 0.01, 0.82]"
3.058518389,solubility,mg/mL,"[1, 2, 3, 4, 5]","[0.03, 0.04, 0.04, 0.05, 0.84]"
4.253365973,solubility,mg/mL,"[0, 2, 3, 4, 5]","[0.05, 0.01, 0.04, 0.05, 0.85]"
5.462784869,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.03, 0.05, 0.05, 0.04, 0.05, 0.78]"
4.054224704,solubility,mg/mL,"[0, 1, 2, 4, 5]","[0.05, 0.03, 0.05, 0.01, 0.86]"
4.287365696,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.01, 0.05, 0.05, 0.05, 0.02, 0.82]"
12.06358921,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.04, 0.03, 0.05, 0.04, 0.79]"
7.4493404,solubility,mg/mL,"[0, 1, 3, 5]","[0.05, 0.04, 0.05, 0.86]"
8.819043729,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.03, 0.01, 0.05, 0.04, 0.82]"
8.459618042,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.04, 0.03, 0.01, 0.03, 0.85]"
8.88218609,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.03, 0.03, 0.04, 0.03, 0.82]"
12.22387364,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.04, 0.05, 0.01, 0.02, 0.83]"
10.51417303,solubility,mg/mL,"[0, 2, 3, 4, 5]","[0.05, 0.01, 0.04, 0.02, 0.88]"
7.080200501,solubility,mg/mL,"[0, 1, 2, 3, 5]","[0.04, 0.04, 0.05, 0.03, 0.84]"
7.726195328,solubility,mg/mL,"[1, 2, 3, 4, 5]","[0.05, 0.04, 0.05, 0.05, 0.81]"
5.253929402,solubility,mg/mL,"[0, 1, 2, 4, 5]","[0.03, 0.04, 0.05, 0.03, 0.85]"
6.409920149,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.05, 0.02, 0.05, 0.03, 0.8]"
8.041907093,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.03, 0.05, 0.04, 0.02, 0.81]"
8.974471061,solubility,mg/mL,"[0, 2, 3, 4, 5]","[0.05, 0.05, 0.05, 0.02, 0.83]"
7.415340677,solubility,mg/mL,"[0, 1, 2, 4, 5]","[0.05, 0.02, 0.02, 0.04, 0.87]"
5.31221465,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.03, 0.01, 0.05, 0.02, 0.85]"
5.82221057,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.02, 0.04, 0.05, 0.05, 0.79]"
6.900487658,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.05, 0.01, 0.05, 0.02, 0.87]"
6.424491461,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.01, 0.02, 0.01, 0.01, 0.9]"
9.591323265,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.05, 0.01, 0.03, 0.05, 0.81]"
8.114763653,solubility,mg/mL,"[0, 1, 2, 4, 5]","[0.04, 0.03, 0.01, 0.03, 0.89]"
10.20817548,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.03, 0.05, 0.05, 0.05, 0.04, 0.78]"
10.02360553,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.02, 0.04, 0.03, 0.05, 0.01, 0.85]"
5.55506984,solubility,mg/mL,"[0, 1, 2, 3, 5]","[0.05, 0.02, 0.01, 0.05, 0.87]"
6.536204858,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.01, 0.03, 0.03, 0.05, 0.84]"
12.9087253,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.02, 0.02, 0.03, 0.01, 0.88]"
6.628489829,solubility,mg/mL,"[0, 3, 4, 5]","[0.03, 0.05, 0.04, 0.88]"
8.746187169,solubility,mg/mL,"[0, 3, 5]","[0.05, 0.03, 0.92]"
9.018184997,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.05, 0.05, 0.05, 0.01, 0.84]"
3.825940826,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.04, 0.03, 0.05, 0.02, 0.81]"
6.735346112,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.04, 0.01, 0.01, 0.01, 0.89]"
5.137358906,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.05, 0.05, 0.03, 0.02, 0.8]"
3.519943274,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.04, 0.04, 0.04, 0.01, 0.82]"
7.672767194,solubility,mg/mL,"[0, 1, 3, 5]","[0.05, 0.01, 0.05, 0.89]"
6.973344218,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.04, 0.03, 0.03, 0.04, 0.82]"
5.933923952,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.01, 0.02, 0.04, 0.01, 0.87]"
6.740203226,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.04, 0.05, 0.05, 0.01, 0.81]"
7.031629466,solubility,mg/mL,"[0, 3, 4, 5]","[0.05, 0.05, 0.01, 0.89]"
7.017058154,solubility,mg/mL,"[0, 1, 2, 3, 5]","[0.04, 0.01, 0.03, 0.05, 0.87]"
5.404499621,solubility,mg/mL,"[0, 1, 2, 3, 5]","[0.04, 0.03, 0.01, 0.02, 0.9]"
5.754211109,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.05, 0.01, 0.02, 0.01, 0.91]"
10.64045773,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.05, 0.03, 0.05, 0.05, 0.77]"
8.974471061,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.02, 0.04, 0.03, 0.05, 0.03, 0.83]"
7.274484656,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.03, 0.02, 0.03, 0.04, 0.83]"
6.813059786,solubility,mg/mL,"[0, 1, 3, 5]","[0.05, 0.05, 0.01, 0.89]"
7.512482762,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.03, 0.04, 0.05, 0.01, 0.01, 0.86]"
8.129334965,solubility,mg/mL,"[0, 1, 2, 4, 5]","[0.04, 0.03, 0.01, 0.02, 0.9]"
6.618775616,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.03, 0.04, 0.02, 0.01, 0.85]"
5.161644416,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.02, 0.02, 0.04, 0.02, 0.86]"
5.297643338,solubility,mg/mL,"[0, 2, 4, 5]","[0.05, 0.02, 0.05, 0.88]"
7.405626464,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.05, 0.02, 0.02, 0.05, 0.81]"
5.977637888,solubility,mg/mL,"[0, 3, 4, 5]","[0.05, 0.05, 0.05, 0.85]"
8.03219288,solubility,mg/mL,"[0, 2, 3, 4, 5]","[0.05, 0.02, 0.04, 0.02, 0.87]"
5.04507392,solubility,mg/mL,"[0, 1, 2, 3, 5]","[0.05, 0.01, 0.01, 0.02, 0.91]"
7.672767194,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.05, 0.04, 0.02, 0.02, 0.87]"
3.995939456,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.01, 0.02, 0.05, 0.04, 0.83]"
6.264207029,solubility,mg/mL,"[1, 2, 3, 5]","[0.03, 0.04, 0.05, 0.88]"
9.727322186,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.02, 0.04, 0.05, 0.02, 0.82]"
5.666783237,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.03, 0.03, 0.04, 0.04, 0.82]"
7.493054336,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.04, 0.01, 0.04, 0.04, 0.83]"
7.483340138,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.02, 0.05, 0.03, 0.02, 0.83]"
6.298206752,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.01, 0.02, 0.03, 0.04, 0.86]"
